head words,entry,sources,all lexemes,linked words,linked entries
"ûȥana, ûȥȥan, ûȥen","<heading><strong>ûȥana</strong></heading>, <heading><strong>ûȥȥan</strong></heading>, <heading><strong>ûȥen</strong></heading>, <lang>свн.</lang> <lex>ûȥen</lex> (нар.) <em>снаружи, извне</em>; <lang>нн.</lang> <lex>außen</lex>; (предл. с дат. род.) <em>извне, вне</em>, (с вин.) <em>кроме, без</em>; <lang>нн.</lang> <lex>außer</lex>; <lang>дс.</lang> <lex>ûtan</lex>, <lang>го.</lang> <lex>utana</lex>.",,"außer, ûȥen, utana, ûtan, außen",,
"ûȥ, ûzs","<heading><strong>ûȥ</strong></heading>, <heading><strong>ûzs</strong></heading>, <lang>свн.</lang> <lex>ûȥ</lex> (нар.) <em>отсюда, вне</em>, (предл. с дат.) <em>из, от</em>; <lang>нн.</lang> <lex>aus</lex>; <lang>дс.</lang> <lang>да.</lang> <lang>ди.</lang> <lang>го.</lang> <lex>ut</lex>; <lang>а.</lang> <lex>out</lex> (нар.).",,"ûȥ, ut, aus, out",,
"ûȥaro","<heading><strong>ûȥaro</strong></heading> (прил.) сравн. <em>внешний, наруж­ный</em>, прев. <lex>ûzarosto</lex>; <lang>нн.</lang> <lex>äußere</lex>, <lex>äußer­ste</lex> (нар.) <em>вне, снаружи</em>; <lang>дс.</lang> <lang>го.</lang> <lex>uta</lex> (предл. с дат.) <em>из, вне, кроме</em>; <lang>нн.</lang> <lex>außer</lex>.",,"außer, ûzarosto, äußere, äußer­ste, uta",,
"ûȥgangan","<heading><strong>ûȥgangan</strong></heading> <em>выходить</em>; <lang>нн.</lang> <lex>ausgehen</lex>.",,"ausgehen",,
"ûȥlâȥ","<heading><strong>ûȥlâȥ</strong></heading> <gender>мр</gender> (a) <em>конец</em>.",,,,
"unwertes","<heading><strong>unwertes</strong></heading> (нар.) <em>вне, снаружи</em>; <lang>нн.</lang> <lex>aus­wärts</lex>.",,"aus­wärts",,
"wâ","<heading><strong>wâ</strong></heading> (нар. сз.), <linked>см. wâr</linked>.",,,"wâr","<heading><strong>wâr</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>истинный, дей­ствительный</em>; <lang>нн.</lang> <lex>wahr</lex>; <gender>срр</gender> <em>правда, истина</em>; ср. <lang>нн.</lang> <lex>Wahrheit</lex>; <lang>дс.</lang> <lex>wâr</lex>, <lang>да.</lang> <lex>wǣr</lex>; ср. <lang>лат.</lang> <lex>vērus</lex> <em>истинный</em>, <lang>русск.</lang> <lex>«вера»</lex>., <heading><strong>wâr</strong></heading>, <heading><strong>wâ</strong></heading>, более древняя форма <lex>hwâr</lex> (нар.), <lang>свн.</lang> <lex>wâ</lex>, <lex>wô</lex> <em>где, откуда</em>; <lang>нн.</lang> <lex>wo</lex>; <lang>дс.</lang> <lex>hwâr</lex>, <lang>да.</lang> <lex>hwǣr</lex>, <lang>ди.</lang> <lex>hvar</lex>, <lang>го.</lang> <lex>ƕar</lex>."
"wâfanen","<heading><strong>wâfanen</strong></heading> (слгл. 1) <em>вооружать</em>; <lang>нн.</lang> <lex>waffnen</lex>.",,"waffnen",,
"wâfenhemde","<heading><strong>wâfenhemde</strong></heading> <lang>свн.</lang> <gender>срр</gender> <em>подлатник</em>.",,,,
"wâffan, wâfan","<heading><strong>wâffan</strong></heading>, <heading><strong>wâfan</strong></heading> <gender>срр</gender> (a), <lang>свн.</lang> <lex>wâfen</lex>, <lex>wâpen</lex> <em>оружие</em>, особ. <em>меч</em>, в <lang>свн.</lang> также <em>герб (на щите или на к.-н. другом оружии)</em>; <lang>нн.</lang> <lex>Waffe</lex> <gender>жр</gender>, <lex>Wappen</lex> <gender>срр</gender>; <lang>дс.</lang> <lex>wâpan</lex>, <lang>да.</lang> <lex>wæpn</lex>, <lang>а.</lang> <lex>weapon</lex>, <lang>ди.</lang> <lex>vápn</lex>, <lang>го.</lang> <lex>wepna</lex> им. мн. <gender>срр</gender> <em>оружие</em>.",,"wâfen, Wappen, wâpan, weapon, vápn, wepna, wæpn, wâpen, Waffe",,
"wâg","<heading><strong>wâg</strong></heading> <lang>двн.</lang> <lang>дс.</lang> <gender>мр</gender> (i) <em>волна, зыбь, пучина</em>; <lang>нн.</lang> <lex>Woge</lex>; <lang>да.</lang> <lex>wǣƷ</lex>, <lang>го.</lang> <lex>wegs</lex> <em>шторм</em>, <lang>ди.</lang> <lex>vágr</lex> <em>море</em>.",,"wegs, Woge, wǣƷ, vágr",,
"wâga","<heading><strong>wâga</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>wâge</lex> <em>весы</em>; <lang>нн.</lang> <lex>Waage</lex>; <lang>дс.</lang> <lex>wâga</lex>, <lang>да.</lang> <lex>wǣƷ</lex>, <lang>ди.</lang> <lex>vág</lex>.",,"Waage, wâge, wǣƷ, wâga, vág",,
"wâgen","<heading><strong>wâgen</strong></heading> <lang>свн.</lang> (слгл.) <em>рисковать</em>; <lang>нн.</lang> <lex>wagen</lex>.",,"wagen",,
"wach","<heading><strong>wach</strong></heading> <lang>нжн.</lang> (межд. боли); ср. <lang>нн.</lang> <lex>weh</lex>.",,"weh",,
"wahhên, wahhôn","<heading><strong>wahhên</strong></heading>, <heading><strong>wahhôn</strong></heading> (слгл. 3, 2), <lang>свн.</lang> <lex>wachen</lex> <em>бодрствовать</em>; <lang>нн.</lang> <lex>wachen</lex>; <lang>дс.</lang> <lex>wakon</lex>, <lang>да.</lang> <lex>wacian</lex>, <lex>wæccan</lex>, <lang>а.</lang> <lex>wake</lex>, <lang>ди.</lang> <lex>vaka</lex>, <lang>го.</lang> <lex>wakan</lex> (снгл. 6).",,"wæccan, wachen, wacian, wake, vaka, wakon, wakan",,
"wahs","<heading><strong>wahs</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>срр</gender> <em>воск</em>; <lang>нн.</lang> <lex>Wachs</lex>; <lang>да.</lang> <lex>weax</lex>, <lang>а.</lang> <lex>wax</lex>, <lang>ди.</lang> <lex>vax</lex>; ср. <lang>русск.</lang> <lex>«воск»</lex>.",,"weax, Wachs, «воск», wax, vax",,
"wahsan, wasgan, wassen","<heading><strong>wahsan</strong></heading>, <heading><strong>wasgan</strong></heading>, <heading><strong>wassen</strong></heading> (снгл. 6), <lang>свн.</lang> <lex>wahsen</lex> <em>расти</em>; <lang>нн.</lang> <lex>wachsen</lex>; <lang>дс.</lang> <lex>wah­san</lex>, <lang>да.</lang> <lex>weaxan</lex>, <lang>ди.</lang> <lex>vaxa</lex>, <lang>го.</lang> <lex>wahsjan</lex>.",,"wachsen, wah­san, vaxa, wahsjan, wahsen, weaxan",,
"wahsmo","<heading><strong>wahsmo</strong></heading> <gender>мр</gender> (n) <em>выросшее, плод</em>.",,,,
"wahtala","<heading><strong>wahtala</strong></heading> <gender>жр</gender> (ô и n), <lang>свн.</lang> <lex>wahtel</lex> <em>стража</em>; ср. <lang>нн.</lang> <lex>Wache</lex>, <lex>Wacht</lex>.",,"Wache, Wacht, wahtel",,
"wâen, wâjen","<heading variants="wâen, wâjen"><strong>wâ(j)en</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>wæen</lex> <em>веять</em>; <lang>нн.</lang> <lex>wehen</lex>; <lang>да.</lang> <lex>wāwan</lex>; <lang>го.</lang> <lex>waian</lex>; ср. <lang>русск.</lang> <lex>«веять»</lex>.",,"wehen, wæen, «веять», waian, wāwan",,
"wackar, wachar","<heading><strong>wackar</strong></heading>, <heading><strong>wachar</strong></heading>, <lang>свн.</lang> <lex>wacker</lex> (прил.) <em>бодрый</em>; <lang>нн.</lang> <lex>wacker</lex>; <lang>да.</lang> <lex>wacor</lex>, <lang>ди.</lang> <lex>vakr</lex>.",,"wacor, vakr, wacker",,
"wal","<heading><strong>wal</strong></heading> <lang>свн.</lang> <gender>срр</gender> <gender>мр</gender> <gender>жр</gender> <em>поле битвы; место рыцарских турниров</em>, позднее <em>поле, долина</em>.",,,,
"wald","<heading><strong>wald</strong></heading> <gender>мр</gender> (a), <lang>свн.</lang> <lex variants="walt, wald">walt (d)</lex> <em>лес</em>, перв. <em>невозделанная земля, пустошь, степь</em>; <lang>нн.</lang> <lex>Wald</lex>; <lang>дс.</lang> <lex>wald</lex>; <lang>да.</lang> <lex>weald</lex> <em>пустошь</em>, <lang>ди.</lang> <lex>vǫllr</lex> <em>необработанное поле</em>.",,"weald, Wald, wald, walt, vǫllr",,
"walh","<heading><strong>walh</strong></heading> <gender>мр</gender>, <lang>свн.</lang> <lex>walch</lex> <em>житель романских стран, иностранец</em>; <lang>да.</lang> <lex>wealh</lex> <em>кельт</em>.",,"walch, wealh",,
"wallan","<heading><strong>wallan</strong></heading> (снгл. 7), <lang>свн.</lang> <lex>wallen</lex> <em>кипятить, варить</em>; <lang>нн.</lang> <lex>wallen</lex> <em>кипеть</em>; <lang>дс.</lang> <lex>wallan</lex>, <lang>да.</lang> <lex>weallan</lex>.",,"weallan, wallan, wallen",,
"wallôn","<heading><strong>wallôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>wallen</lex> <em>странство­вать</em>; <lang>нн.</lang> <lex>wallen</lex> <em>шествовать</em>; <lang>да.</lang> <lex>weallian</lex>.",,"weallian, wallen",,
"waltan","<heading><strong>waltan</strong></heading> (снгл. 7) <em>господствовать, управ­лять</em>, <lang>свн.</lang> <lex>walten</lex> (снгл. слгл.); <lang>нн.</lang> <lex>walten</lex>; <lang>дс.</lang> <lang>го.</lang> <lex>waldan</lex>, <lang>да.</lang> <lex>wealdan</lex>, <lang>ди.</lang> <lex>valda</lex>; ср. <lang>русск.</lang> <lex>«владеть»</lex>, <lex>«власть»</lex>.",,"wealdan, «власть», waldan, walten, valda, «владеть»",,
"waltant","<heading><strong>waltant</strong></heading> <gender>мр</gender> <em>(всемогущий) бое, владыка</em>; <lang>дс.</lang> <lex>waldand</lex>.",,"waldand",,
"wamba","<heading><strong>wamba</strong></heading> <gender>жр</gender> (ô и n) <em>живот, чрево (матери)</em>; <lang>нн.</lang> <lex>Wamme</lex> <em>живот (зверя)</em>; <lang>да.</lang> <lex>womb</lex>, <lang>го.</lang> <lex>wamba</lex>.",,"womb, Wamme, wamba",,
"wamdâd","<heading><strong>wamdâd</strong></heading> <lang>дс.</lang> <gender>жр</gender> (i) <em>преступление, зло­деяние</em>.",,,,
"wân","<heading><strong>wân</strong></heading> <gender>мр</gender> (a), <lang>свн.</lang> <lex>wân</lex> <em>необоснованное суж­дение, предположение, ожидание, на­дежда</em>; <lang>нн.</lang> <lex>Wahn</lex> <em>заблужден не</em>; <lang>да.</lang> <lex>wen</lex>, <lang>го.</lang> <lex>wens</lex>.",,"wen, wens, wân, Wahn",,
"wanân, hwânan, wanana","<heading variants="wanân, hwânan"><strong>wanân (hwânan)</strong></heading>, <heading><strong>wanana</strong></heading> (нар.) <em>откуда, откуда-нибудь; поэтому, почему</em>; ср. <lang>нн.</lang> <lex>Waffe</lex> <gender>жр</gender>, <lex>Wappen</lex> <gender>срр</gender>; <lang>дс.</lang> <lex>wâpan</lex>, <lang>да.</lang> <lex>wæpn</lex>, <lang>а.</lang> <lex>weapon</lex>, <lang>ди.</lang> <lex>vápn</lex>, <lang>го.</lang> <lex>wepna</lex> им. ми. <gender>срр</gender> <em>оружие</em>.",,"Wappen, wâpan, weapon, wepna, wæpn, vápn, Waffe",,
"wâen, wâjen","<heading variants="wâen, wâjen"><strong>wâ(j)en</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>wæen</lex> <em>веять</em>; <lang>нн.</lang> <lex>wehen</lex>; <lang>да.</lang> <lex>Wāwan</lex>; <lang>го.</lang> <lex>waian</lex>; ср. <lang>русск.</lang> <lex>«веять»</lex>.",,"wehen, wæen, «веять», Wāwan, waian",,
"wanân, hwânan, wanana","<heading variants="wanân, hwânan"><strong>wanân (hwânan)</strong></heading>, <heading><strong>wanana</strong></heading> (нар.) <em>откуда, откуда-нибудь; поэтому, почему</em>; ср. <lang>нн.</lang> <lex>wannen</lex> в <lex>von</lex> <lex>wannen</lex> <em>откуда</em>; <lang>дс.</lang> <lex>hwanan</lex>.",,"wannen, von, hwanan",,
"wânen, wânnan","<heading><strong>wânen</strong></heading>, <heading><strong>wânnan</strong></heading> (слгл. 1) (прош. <lex>wânta</lex>) <em>предполагать, ждать, думать, ве­рить, надеяться</em>; <lang>свн.</lang> <lex>wænen</lex> (прош. <lex>wânde</lex>); <lang>нн.</lang> <lex>wähnen</lex>; <lang>дс.</lang> <lex>wânian</lex>, <lang>да.</lang> <lex>wēnan</lex>, <lang>ди.</lang> <lex>vǽna</lex>, <lang>го.</lang> <lex>wenjan</lex> <em>ожидать</em>.",,"wânian, wähnen, wânde, wēnan, wânta, vǽna, wænen, wenjan",,
"wanga","<heading><strong>wanga</strong></heading> <gender>срр</gender> (n) <em>щека</em>, <lang>свн.</lang> <lex>wange</lex> <gender>срр</gender> (сн. также <gender>жр</gender>); <lang>нн.</lang> <lex>Wange</lex>; <lang>дс.</lang> <lex>wange</lex>, <lang>да.</lang> <lex>wonƷe</lex>, <lang>ди.</lang> <lex>vangi</lex>.",,"wange, vangi, wonƷe, Wange",,
"wanc","<heading><strong>wanc</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> <em>непостоянство, коле­бание</em>; <lex>âne</lex> <lex>wanc</lex> (нар.) <em>действительно</em>; ср. <lang>нн.</lang> устар. <lex>Wank</lex> в <lex>ohne</lex> <lex>Wank</lex> <em>без колебаний</em>.",,"âne, Wank, ohne, wanc",,
"wankôn","<heading><strong>wankôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>wanken</lex> <em>колебать­ся, отклоняться</em>; <lang>нн.</lang> <lex>wanken</lex>.",,"wanken",,
"wanna, hwanna, wanne","<heading variants="wanna, hwanna"><strong>wanna (hwanna)</strong></heading>, <heading><strong>wanne</strong></heading> (нар.) <em>откуда</em>.",,,,
"wanne, hwanne, wenne","<heading variants="wanne, hwanne"><strong>wanne (hwanne)</strong></heading>, <heading><strong>wenne</strong></heading>, <lang>свн.</lang> <lex variants="wanne, wan">wan(ne)</lex>, <lex>wen</lex> (нар. сз.) <em>когда, если, кроме; ведь</em>; <lang>нн.</lang> <lex>wann</lex>, <lex>wenn</lex>.",,"wen, wanne, wenn, wann, wan",,
"want","<heading><strong>want</strong></heading> <gender>срр</gender> <em>одежда; материал (из которого сшита одежда)</em>; ср. <lang>нн.</lang> <lex>Gewand</lex> <em>платье</em> и <lex>Leinwand</lex> <em>полотно</em>.",,"Gewand, Leinwand",,
"wanta","<heading><strong>wanta</strong></heading> (более древняя форма <lex>hwanta</lex>), <lex>wanda</lex>, <lex variants="wante, want">want(e)</lex>, <lang>свн.</lang> <lex variants="wande, wand">wand(e)</lex>, <lex>want</lex> (нар. сз.) <em>ибо, потому что, покуда, почему</em>; <lang>двн.</lang> <lex>bithiu</lex> <lex>wanta</lex> <em>потому что</em>; <lang>дс.</lang> <lex>hwanda</lex>.",,"hwanta, wanta, bithiu, want, wand, wanda, hwanda, wante, wande",,
"wâpenroc","<heading><strong>wâpenroc</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>одежда, надеваемая сверх панцыря</em>; ср. <lang>нн.</lang> <lex>Waffen</lex> <lex>rock</lex> <em>военный мундир</em>.",,"Waffen, rock",,
"wâr","<heading><strong>wâr</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>истинный, дей­ствительный</em>; <lang>нн.</lang> <lex>wahr</lex>; <gender>срр</gender> <em>правда, истина</em>; ср. <lang>нн.</lang> <lex>Wahrheit</lex>; <lang>дс.</lang> <lex>wâr</lex>, <lang>да.</lang> <lex>wǣr</lex>; ср. <lang>лат.</lang> <lex>vērus</lex> <em>истинный</em>, <lang>русск.</lang> <lex>«вера»</lex>.",,"«вера», wǣr, Wahrheit, vērus, wahr, wâr",,
